Report Name : ATCS Controller,,,,,,,,
Name : ATCS ,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,82.39,,,
Maintenance (%),,,,,13.64,,,
Down (%),,,,,3.97,,,
Name : ATCS Controller,,,,,,,,
Time Span: From 15 Dec  2023 12:00:00 AM To 31 Dec  2023 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-NC-ATCS-CTRL ( 172.19.0.111 ),Ping,99.82,15 days 15 hours 23 minutes 38 seconds ,0.18,,0 days 0 hours 40 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MMC-ATCS-CTRL ( 172.19.0.107 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,16 days 23 hours 55 minutes 49 seconds 
BSCL-RGC-ATCS-CTRL ( 172.19.0.120 ),Ping,44.14,6 days 12 hours 41 minutes 28 seconds ,55.86,,8 days 6 hours 17 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TWC-ATCS-CTRL ( 172.19.0.115 ),Ping,100,16 days 23 hours 56 minutes 6 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNC-ATCS-CTRL ( 172.19.0.106 ),Ping,81.57,13 days 20 hours 45 minutes 9 seconds ,18.43,,3 days 3 hours 10 minutes 57 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MPC-ATCS-CTRL ( 172.19.0.108 ),Ping,99.42,14 days 16 hours 55 minutes 41 seconds ,0.58,,0 days 2 hours 3 minutes 32 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ASC-ATCS-CTRL ( 172.19.0.101 ),Ping,98.93,15 days 12 hours 8 minutes 7 seconds ,1.07,,0 days 4 hours 1 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-BNC-ATCS-CTRL ( 172.19.0.122 ),Ping,99.51,14 days 17 hours 14 minutes 51 seconds ,0.49,,0 days 1 hours 44 minutes 22 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MC-ATCS-CTRL ( 172.19.0.110 ),Ping,99.92,16 days 23 hours 36 minutes 4 seconds ,0.08,,0 days 0 hours 19 minutes 35 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-FRC-ATCS-CTRL ( 172.19.0.114 ),Ping,99.95,16 days 23 hours 43 minutes 52 seconds ,0.05,,0 days 0 hours 12 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-CMD-ATCS-CTRL ( 172.19.0.103 ),Ping,99.94,16 days 23 hours 41 minutes 47 seconds ,0.06,,0 days 0 hours 14 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MDC-ATCS-CTRL ( 172.19.0.109 ),Ping,99.98,16 days 23 hours 50 minutes 45 seconds ,0.02,,0 days 0 hours 4 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVC-ATCS-CTRL ( 172.19.0.117 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,16 days 23 hours 56 minutes 26 seconds 
BSCL-OBS-ATCS-CTRL ( 172.19.0.112 ),Ping,94.84,16 days 2 hours 53 minutes 8 seconds ,5.16,,0 days 21 hours 2 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-SC-ATCS-CTRL ( 172.19.0.113 ),Ping,99.07,16 days 20 hours 8 minutes 2 seconds ,0.93,,0 days 3 hours 47 minutes 37 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-TBC-ATCS-CTRL ( 172.19.0.121 ),Ping,100,16 days 23 hours 55 minutes 7 seconds ,0,,0 days 0 hours 0 minutes 0 seconds,0,0 days 0 hours 0 minutes 0 seconds
BSCL-HC-ATCS-CTRL ( 172.19.0.102 ),Ping,0,0 days 0 hours 0 minutes 0 seconds,0,,0 days 0 hours 0 minutes 0 seconds,100,16 days 23 hours 55 minutes 49 seconds 
BSCL-MMT-ATCS-CTRL ( 172.19.0.118 ),Ping,97.54,14 days 10 hours 15 minutes 15 seconds ,2.46,,0 days 8 hours 43 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GC-ATCS-CTRL ( 172.19.0.105 ),Ping,99.47,16 days 21 hours 45 minutes 24 seconds ,0.53,,0 days 2 hours 9 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VRP-ATCS-CTRL ( 172.19.0.116 ),Ping,98.66,16 days 18 hours 27 minutes 41 seconds ,1.34,,0 days 5 hours 27 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-DNC-ATCS-CTRL ( 172.19.0.104 ),Ping,99.87,14 days 18 hours 31 minutes 32 seconds ,0.13,,0 days 0 hours 27 minutes 41 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-MN-ATCS-CTRL ( 172.19.0.123 ),Ping,99.95,16 days 23 hours 43 minutes 25 seconds ,0.05,,0 days 0 hours 12 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
