Report Name : SVD,,,,,,,,
Name : Grid,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-GNCS-SVD-EC2 ( 172.22.2.185 ),Ping,99.23,28 days 18 hours 38 minutes 26 seconds ,0.77,,0 days 5 hours 21 minutes 33 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC1 ( 172.22.2.179 ),Ping,99.03,28 days 17 hours 6 minutes 5 seconds ,0.97,,0 days 6 hours 44 minutes 59 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-RVR-SVD-EC2 ( 172.22.2.180 ),Ping,99.05,28 days 17 hours 23 minutes 16 seconds ,0.95,,0 days 6 hours 36 minutes 43 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-GNCS-SVD-EC1 ( 172.22.2.184 ),Ping,99.21,28 days 18 hours 30 minutes 5 seconds ,0.79,,0 days 5 hours 29 minutes 54 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC2 ( 172.22.2.163 ),Ping,98.77,28 days 15 hours 22 minutes 38 seconds ,1.23,,0 days 8 hours 33 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-VVR-SVD-EC1 ( 172.22.2.162 ),Ping,98.77,28 days 15 hours 22 minutes 38 seconds ,1.23,,0 days 8 hours 33 minutes 36 seconds ,0,0 days 0 hours 0 minutes 0 seconds
Name : SVD,,,,,,,,
Time Span: From 15 Feb  2024 12:00:00 AM To 14 Mar  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.01,,,
Down (%),,,,,0.99,,,
